Start training epoch:0 @Thu Jan  2 23:35:35 2020
Epoch: [0][740/794], lr: 0.00200	Time 3.248 (3.381)	Data 2.918 (1.454)	Loss 1.4918 (3.1791)	Prec@1 58.333 (27.901)	Prec@5 83.333 (50.619)
Epoch: [0][750/794], lr: 0.00200	Time 3.277 (3.379)	Data 2.919 (1.454)	Loss 1.5592 (3.1603)	Prec@1 66.667 (28.273)	Prec@5 83.333 (51.065)
Epoch: [0][760/794], lr: 0.00200	Time 3.258 (3.378)	Data 2.925 (1.454)	Loss 2.0482 (3.1412)	Prec@1 16.667 (28.647)	Prec@5 100.000 (51.511)
Epoch: [0][770/794], lr: 0.00200	Time 3.266 (3.376)	Data 2.930 (1.454)	Loss 1.3442 (3.1210)	Prec@1 66.667 (29.053)	Prec@5 100.000 (51.956)
Epoch: [0][780/794], lr: 0.00200	Time 3.272 (3.375)	Data 2.935 (1.454)	Loss 1.9513 (3.1048)	Prec@1 33.333 (29.289)	Prec@5 75.000 (52.305)
Epoch: [0][790/794], lr: 0.00200	Time 3.261 (3.374)	Data 2.923 (1.454)	Loss 1.6308 (3.0864)	Prec@1 66.667 (29.625)	Prec@5 83.333 (52.708)
Test: [0/316]	Time 3.038 (3.038)	Loss 1.3803 (1.3803)	Prec@1 66.667 (66.667)	Prec@5 91.667 (91.667)
Test: [20/316]	Time 0.112 (0.260)	Loss 0.0021 (0.9213)	Prec@1 100.000 (73.413)	Prec@5 100.000 (92.460)
Test: [40/316]	Time 0.120 (0.191)	Loss 1.5029 (0.8454)	Prec@1 41.667 (76.016)	Prec@5 91.667 (93.293)
Test: [60/316]	Time 0.122 (0.167)	Loss 0.7733 (0.9725)	Prec@1 66.667 (71.448)	Prec@5 100.000 (93.033)
Test: [80/316]	Time 0.114 (0.155)	Loss 0.5733 (1.0800)	Prec@1 83.333 (68.930)	Prec@5 100.000 (92.490)
Test: [100/316]	Time 0.118 (0.148)	Loss 1.8313 (1.1791)	Prec@1 41.667 (65.842)	Prec@5 91.667 (92.822)
Test: [120/316]	Time 0.119 (0.143)	Loss 0.4896 (1.2521)	Prec@1 91.667 (63.499)	Prec@5 100.000 (92.355)
Test: [140/316]	Time 0.120 (0.139)	Loss 1.2405 (1.2393)	Prec@1 75.000 (63.652)	Prec@5 83.333 (92.139)
Test: [160/316]	Time 0.128 (0.136)	Loss 3.6871 (1.2998)	Prec@1 8.333 (62.112)	Prec@5 66.667 (91.511)
Test: [180/316]	Time 0.119 (0.135)	Loss 3.5249 (1.3907)	Prec@1 0.000 (60.359)	Prec@5 58.333 (89.963)
Test: [200/316]	Time 0.122 (0.133)	Loss 0.0000 (1.2957)	Prec@1 100.000 (63.267)	Prec@5 100.000 (90.340)
Test: [220/316]	Time 0.123 (0.132)	Loss 1.6622 (1.2478)	Prec@1 33.333 (64.480)	Prec@5 91.667 (90.950)
Test: [240/316]	Time 0.123 (0.131)	Loss 0.4379 (1.2753)	Prec@1 83.333 (64.419)	Prec@5 100.000 (90.318)
Test: [260/316]	Time 0.117 (0.130)	Loss 7.3370 (1.3538)	Prec@1 0.000 (62.356)	Prec@5 0.000 (89.751)
Test: [280/316]	Time 0.119 (0.129)	Loss 1.5482 (1.3360)	Prec@1 75.000 (62.811)	Prec@5 75.000 (89.828)
Test: [300/316]	Time 0.115 (0.128)	Loss 1.7853 (1.3467)	Prec@1 33.333 (62.458)	Prec@5 83.333 (89.756)
